сервер	канал	id	запись	сообщ/день	%вопросов	%по теме	выборка
chess-academy	#✍┆write-guide	1282713043041521790	НЕТ	24	100	100	1
chess-academy	#helper-application	1503046516640846059	НЕТ	48	100	100	2
chess-academy	#coaches	1513090058264248320	НЕТ	96	25	100	4
chess-academy	#📓┆positional-guide-advanced	1326893791378014209	НЕТ	0	44	53	36
chess-academy	#📌┆numerots-chess-guide	963455171369791518	НЕТ	0	29	71	34
chess-academy	#🗂┆archives	839395667029786624	НЕТ	0	18	82	22
chess-academy	#📄┆resources-guide	822583676301869077	НЕТ	0	17	67	12
chess-academy	#📒┆improvement-guide	699764401011556404	НЕТ	0	30	45	44
chess-academy	#📖┆hephs-opening-guide	857950117780914176	НЕТ	0	20	51	35
chesscom	#chesscom-promotions	1257014735837073480	да	0	23	38	47
lichess	#promotion	596760737955708995	да	3	23	35	48
chesscom	#beta-club	1359627569556881569	НЕТ	0	22	34	32
echo-chess	#🙆🏻・self-promo	1266422017301807245	да	1	27	29	49
chesscom	#💬〡improvement-talk	1039987259186880634	НЕТ	489	25	29	48
chess-academy	#📙┆notation-guide	709385303730683964	НЕТ	0	31	23	13
chess-academy	#endgames	1044388539669942373	да	4	13	40	48
chess-academy	#📘┆attacking-guide	758449311435456522	НЕТ	0	24	24	34
lichess	#lichess-dev-onboarding	693123750845218836	да	1	27	22	49
lichess	#lichess-mobile-app	807722604478988348	да	2	23	23	48
chessbrah	#chess-seeking	312182842576601088	да	0	28	19	47
chess-academy	#help-and-advice	692509042421006355	да	230	8	40	50
lichess	#lichess-development	352976626558042122	НЕТ	1	24	19	42
chess-academy	#📓┆positional-guide	770329113285623828	НЕТ	1	13	28	46
echo-chess	#🎭・jester-tournament	1495653602096840885	НЕТ	3	4	46	26
chess-academy	#books	692509114613366875	да	6	18	22	50
chessbrah	#💻・programming	710397097035169802	да	0	25	15	48
chesscom	#💚〡discords-choice-awards	1112778331495075870	НЕТ	48	0	50	2
chess-academy	#📗┆tactic-types	1285630893020549151	НЕТ	192	0	50	8
chessbrah	#london_chessable	1474058112385155316	да	1	12	22	49
chesscom	#info-vs-theworld	1374799507111415828	НЕТ	0	17	17	6
chesscom	#discord-events	1274085792393859183	НЕТ	0	0	44	9
chess-academy	#puzzles	694023770557644812	да	2	15	17	47
chesscom	#🧩〡weekend-puzzle-rush	1306761790016720967	да	19	11	20	35
chessbrah	#suggestions	423646674024398860	да	0	24	12	49
chessbrah	#event-info	672138560131825707	НЕТ	63	0	40	5
lichess	#crazyhouse	1365823468255318128	да	2	18	14	49
chessbrah	#content-ideas	786095726488453130	да	0	18	14	50
chesscom	#🗣〡ask-magnus	1205882461914009711	да	28	28	9	47
lichess	#atomic	1365824779596075068	да	2	10	17	48
echo-chess	#📈・duel-tournament	1395870250792255498	НЕТ	1	14	14	7
chess-academy	#openings	718797705446555660	да	40	14	12	49
chess-academy	#📕┆beginner-guide	758463107969974282	НЕТ	0	0	25	32
chesscom	#community-streamers	1384920138750361630	да	0	16	9	44
lichess	#racing-kings	1365825056315281458	да	5	11	11	44
chess-academy	#chess	1232819041790459994	да	177	7	13	46
echo-chess	#🔧・troubleshooting	1255400948210335825	да	6	20	7	45
lichess	#general-programming-chat	693123651272179793	да	16	24	6	50
lichess	#chess960	1365823850763518082	да	1	10	10	48
lichess	#antichess	1365824509877293218	да	1	10	10	50
chesscom	#🧩〡daily-puzzle	738096774681460836	да	4	0	20	5
echo-chess	#⚔️・tournament-chat	1294746868194082826	да	0	0	17	6
chess-academy	#server-suggestions	750304186461192303	да	1	10	8	50
chessbrah	#general-gaming	754014432618741811	да	1	20	5	44
chesscom	#next-move-discussion	1374799571288588500	НЕТ	3	11	7	46
lichess	#archived-lichess-forks-clones	932710868267982888	НЕТ	3	26	4	50
chesscom	#💬〡chess-talk	1031921238567817297	да	1080	2	11	45
chess-academy	#general	692502629808603169	да	857	10	6	50
chesscom	#😆〡chess-memes	739751985925980220	да	45	7	7	41
lichess	#maths-and-science	843107273886138428	да	1	17	4	47
chessbrah	#📺・tv-and-movies	1069881499496747018	да	1	8	6	50
chess-academy	#game-requests	871711393634725908	да	121	17	4	47
chessbrah	#♟・chess-talk	1049845663556444170	да	3	16	4	50
chessbrah	#💰・sponsors	900483563483443250	да	0	14	4	50
chesscom	#🎲〡variants-chess	1182461760171692143	да	1	14	4	49
chesscom	#🏆〡best-games	738096821334835261	да	29	19	3	37
chesscom	#theworld-general	1374802500091379832	НЕТ	4	10	4	48
echo-chess	#🥇・leaderboard	1221963405498253412	да	6	10	4	48
lichess	#fishnet	807889882248249384	да	1	29	2	49
lichess	#horde	1365824932197437501	да	0	9	4	46
lichess	#ai-content	1443268223234740346	да	1	15	3	34
lichess	#discord-games-trivia	493061298486116352	да	0	0	5	21
chessbrah	#🐕・pets	829588309210693643	да	0	14	2	44
chesscom	#old-emote-suggestions	1071874036252033084	НЕТ	1	6	3	32
echo-chess	#🧩・puzzle-help	1201916134417235977	да	22	9	2	44
lichess	#chess	352970737562288128	да	26	6	2	48
chessbrah	#💬・general-banter	856395039822446602	да	13	6	2	48
echo-chess	#🦸🏻・fan-art	1287605677002457138	да	2	6	2	47
lichess	#general	352965935809691658	да	1152	15	0	48
lichess	#ban-appeals	709079164531245136	НЕТ	24	0	0	1
lichess	#photos	752816242959581214	да	1	18	0	34
lichess	#memes	752816258969239603	да	3	14	0	28
lichess	#music-recs	821004897843281930	да	1	52	0	50
lichess	#king-of-the-hill	1365824103235190947	да	0	15	0	46
lichess	#three-check	1365824317631234169	да	0	11	0	47
lichess	#lichess-research	1522311837235019826	НЕТ	1	0	0	7
chesscom	#💬〡general-off-topic	388527652752982027	да	197	8	0	49
